Exercise_Name,Base_Lift,exercise_id
Banded Hip Abduction,Cardio_Core,247
Banded Hip Distraction,Cardio_Core,248
Banded Hip Flexor Marches,Cardio_Core,249
Banded Kettle Bell Swings,Cardio_Core,250
Banded Knee Extensions,Cardio_Core,251
Banded Overhead Squat,Cardio_Core,252
Banded Pull Apart,Cardio_Core,253
Banded Shoulder Dislocates,Cardio_Core,255
Bar Assisted Pogo Hops,Cardio_Core,263
Barbell American Deadlift,Best3DeadliftKg,265
Barbell Curls,Best3DeadliftKg,266
Barbell Glute Bridge,Best3SquatKg,269
Barbell Hack Squat,Best3SquatKg,270
Barbell Hang Clean To Overhead Press,Best3DeadliftKg,271
Barbell Hold,Best3DeadliftKg,273
Barbell Hyperextension,Best3DeadliftKg,274
Barbell Rollout,Cardio_Core,276
Barbell Row,Best3DeadliftKg,277
Barbell Row (smith Machine),Best3DeadliftKg,278
Barbell Shoulder Press,Best3BenchKg,279
Barbell Squat,Best3SquatKg,280
Barbell Squat (With Bands),Cardio_Core,281
Barbell Strict Curl,Best3DeadliftKg,283
Barbell Wrist Flexion & Extension,Best3DeadliftKg,287
Barbell Yates Row (Rest Pause Last Set),Best3DeadliftKg,288
Basyian Curl,Best3DeadliftKg,290
Battle Ropes,Cardio_Core,291
Batwing Row,Best3DeadliftKg,293
Bear Craw Isometric Hold,Cardio_Core,297
Bear Crawl,Cardio_Core,298
Bear Position Pull Through,Best3DeadliftKg,300
Behind The Back Holds,Best3DeadliftKg,304
Behind The Back Lateral Raise (Cable),Best3DeadliftKg,305
Behind The Back Shrug,Best3DeadliftKg,306
Behind The Back Shrugs,Best3DeadliftKg,307
Behind The Neck Press,Best3BenchKg,308
Behind The Neck Press (Seated),Best3BenchKg,309
Behind-The-Back Cable Lateral Raise,Best3DeadliftKg,311
Behind-The-Back Dumbbell Wrist Curl,Best3DeadliftKg,312
Behind-The-Back Lateral Raise,Best3DeadliftKg,313
Behind-The-Neck Press (Smith Machine),Best3DeadliftKg,315
Behind-the-Neck Lat Pulldown,Best3DeadliftKg,317
Behind-the-Neck Overhead Press,Best3BenchKg,318
Behind-the-Neck Push Press,Best3BenchKg,319
Belt Squat,Best3SquatKg,320
Belt Squat Stiff Leg Deadlifts,Best3SquatKg,321
Bench Dips,Best3BenchKg,322
Bench Press,Best3BenchKg,324
Bench Press (AM),Best3BenchKg,325
Bench Press (Barbell),Best3BenchKg,327
Bench Press (Board),Best3BenchKg,328
Bench Press (Close Grip),Best3BenchKg,329
Bench Press (Duffalo Bar),Best3BenchKg,330
Bench Press (Paused),Best3BenchKg,333
Bench Press (Smith Machine),Best3DeadliftKg,334
Bench Press (Wide Grip),Best3BenchKg,337
Bench Press Incline (Close Grip),Best3BenchKg,339
Bench Press Pause (Dumbbell),Best3BenchKg,340
Bench(BB),Best3BenchKg,343
Bent Knee Standing Calf Raise,Best3SquatKg,344
Bent Leg Raise,Best3BenchKg,345
Bent Over Lateral Raise (Dumbbell),Best3DeadliftKg,348
Bent Over Row,Best3DeadliftKg,351
"Bent Over Row (Barbell, Paused)",Best3DeadliftKg,353
Bent Over Row (Dumbbell),Best3DeadliftKg,354
Bent-Over Row (Smith Machine),Best3DeadliftKg,358
Bicep Curl (12-15),Best3DeadliftKg,360
Bicep Curl (Barbell),Best3DeadliftKg,361
Bicep Curl (Machine),Best3DeadliftKg,365
Bicep Curl Incline (Dumbell),Best3DeadliftKg,368
Bicep Curl Of Choice (Swap This Out For A Listed Exercise),Best3DeadliftKg,369
Bicep Curl To Overhead Press,Best3DeadliftKg,370
Bicep Curls (Cable),Best3DeadliftKg,372
Bicep Down Machine,Best3DeadliftKg,373
Bicep Pull Up,Best3DeadliftKg,374
Biceps Pull-Down,Best3DeadliftKg,376
Bicycle,Cardio_Core,377
Bicycle Crunch,Cardio_Core,378
Bicycle Crunche,Cardio_Core,379
Bicycle crunch,Cardio_Core,381
Bike,Cardio_Core,382
Bird Dog,Cardio_Core,388
Bird Dog Isometric Hold,Cardio_Core,390
Bird Dogs,Cardio_Core,391
Block Press,Best3BenchKg,394
Block Pull (Barbell),Best3DeadliftKg,395
Boarded Bench Press,Best3BenchKg,397
Body Weight Row On Barbell,Best3DeadliftKg,398
Bodyweight Feet Elevated Pike Push-up,Best3BenchKg,399
Bodyweight Hip Thrust,Best3SquatKg,400
Bodyweight Row,Best3DeadliftKg,402
Bodyweight Side Lying Clamshell,Cardio_Core,403
Bodyweight Single Leg Deadlifts W/ Reach,Best3DeadliftKg,404
Bodyweight Triceps Extension,Best3BenchKg,407
Bosu Ball Crunch,Cardio_Core,409
Bosu Ball Push Ups,Best3BenchKg,410
Bosu Squat,Best3SquatKg,414
Bottom Half Standing Calf Raise,Best3SquatKg,416
Bottom-2/3 Constant Tension Preacher Curl,Best3DeadliftKg,417
Bottom-ROM Paused Squats (Smith),Best3SquatKg,420
Box Jump,Cardio_Core,424
Box Squat (Barbell),Best3SquatKg,426
Bradford Press,Best3BenchKg,428
Bulgarian Dip,Best3BenchKg,433
Bulgarian Smith Squat,Best3SquatKg,434
"Bulgarian Split Squat (12,10,8,6,4/Per Leg)",Best3SquatKg,435
Bulgarian Split Squat (Barbell),Best3SquatKg,436
Bulgarian Split Squat (Bodyweight),Best3SquatKg,437
Bulgarian Split Squat (Dumbbell),Best3SquatKg,438
Bulgarian split squat,Best3SquatKg,441
Bulgarien Split Sqauts,Best3SquatKg,442
Bulgarien Split Squats,Best3SquatKg,443
Burpee,Cardio_Core,445
Burpee Broad Jumps,Cardio_Core,447
Burpee-Pullups,Best3DeadliftKg,448
Bus Driver,Cardio_Core,449
Butterfly DB,Best3BenchKg,453
Butterfly Reverse,Best3BenchKg,455
Cable Abductor (Outside) Riase (Cable),Best3DeadliftKg,459
Cable Adductor (Inside) Raise (Cable),Best3BenchKg,460
Cable Axe Chop,Best3DeadliftKg,462
Cable Cross Tricep Pushdown,Best3BenchKg,465
Cable Cross-Body Lat Pull-Arounds,Best3DeadliftKg,466
Cable Crossed Tricep Extension,Best3BenchKg,467
Cable Crunch,Cardio_Core,469
Cable Hip Abduction,Best3SquatKg,473
Cable Incline Fly,Best3BenchKg,475
Cable Incline Wrist Curls,Best3DeadliftKg,476
Cable Lateral Raise (Lengthened-Mid Position),Best3DeadliftKg,478
Cable Low Row,Best3DeadliftKg,479
Cable Overhead Curl,Best3DeadliftKg,481
Cable Overhead Extension,Best3BenchKg,482
Cable Preacher Curls,Best3DeadliftKg,484
Cable Pronations,Best3DeadliftKg,485
Cable Pushdown,Best3BenchKg,487
Cable Rear Delt Fly,Best3BenchKg,488
Cable Rear Delt Flys (POSTERIOR DELT; Mid/Lengthened Position),Best3BenchKg,489
Cable Reverse Curl,Best3DeadliftKg,490
Cable Reverse Flye,Best3BenchKg,491
Cable Romanian Deadlift,Best3DeadliftKg,492
Cable Rope Seated Crunches,Cardio_Core,493
Cable Rotational Twists,Best3DeadliftKg,495
Cable Shrugs,Best3DeadliftKg,496
Cable Standing Pullover,Best3DeadliftKg,497
Cable Step Up,Best3SquatKg,498
Cable Stretch Drag Curls,Cardio_Core,499
Cable Tib Raises,Best3BenchKg,500
