Exercise_Name,Base_Lift,exercise_id
Abs Crunch In High Cable,Cardio_Core,134
Abs Machine,Cardio_Core,135
Active Pigeon Stretch (Lift Offs),Cardio_Core,136
Active Plank,Cardio_Core,137
Adduction,Best3SquatKg,138
Adductor Dynamic Plank,Cardio_Core,139
Agachamento Hack Sentado,Best3SquatKg,140
Agility Ladder,Cardio_Core,141
Air Bike,Cardio_Core,142
Air Cycling,Cardio_Core,143
Alternate Bounds,Cardio_Core,144
Alternate Leg Raises,Best3BenchKg,145
Alternating Bounds,Cardio_Core,146
Alternating Cable Crossover (High To Low),Best3BenchKg,147
Alternating Cable Curls,Best3DeadliftKg,148
Alternating Dumbbell Curl,Best3DeadliftKg,149
Alternating Good Morning,Best3DeadliftKg,150
Alternating Incline Dumbbell Chest Press (Bottom Hold),Best3BenchKg,151
Alternating Lateral Ball Slams,Best3DeadliftKg,152
Alternating Linear Pogos 10 Yards,Cardio_Core,153
Alternating Lunge Jumps,Cardio_Core,154
Alternating Lunge with Rotation,Best3SquatKg,155
Alternating Reach Forearm Plank,Cardio_Core,156
Alternating Sled Drag For Time,Cardio_Core,157
Anderson Squat,Best3SquatKg,158
Anterior Tibialis Raise,Best3BenchKg,159
Anterior Tibialis Raises,Best3BenchKg,160
Any Back,Best3DeadliftKg,161
Any Chest Exercise,Best3BenchKg,162
Any Press,Best3BenchKg,163
Approach Box Jumps,Cardio_Core,164
Archer Pull Up,Best3DeadliftKg,165
Archer Push Up,Best3BenchKg,166
Archer Row,Best3DeadliftKg,167
Arm Circle,Cardio_Core,168
Arm Hauler,Cardio_Core,169
Arm-Out SingleArm DB Row,Best3DeadliftKg,170
Armpulldown,Best3DeadliftKg,171
Arms Behind Back Shoulder Stretch,Cardio_Core,172
Arms-Extended 45° Hyperextension,Best3DeadliftKg,173
Arnold Press,Best3BenchKg,174
Arnold Press (Standing/Seated),Best3BenchKg,175
Around The World,Best3BenchKg,176
Ascending Skater Jumps 10 Yards,Cardio_Core,177
Assault Bike,Cardio_Core,178
Assisted Mountain Climbers,Cardio_Core,179
Assisted Squats,Best3SquatKg,180
Athletic Movements/ Balance,Cardio_Core,181
Atlas Stones,Cardio_Core,182
Australian Pull Up,Best3DeadliftKg,183
B Stance rdl,Best3DeadliftKg,184
B-Skips,Cardio_Core,185
B-Stance Romanian Deadlift (Dumbbell),Best3DeadliftKg,186
BFR Bicep Curl,Best3DeadliftKg,187
Back Extension,Best3DeadliftKg,188
Back Extension (Weighted),Best3DeadliftKg,189
Back Extension Crunches,Cardio_Core,190
Back Squat,Best3SquatKg,191
Backsquat,Best3SquatKg,192
Backward Run,Cardio_Core,193
Backward Sled,Best3DeadliftKg,194
Backwards Sled Drag,Best3DeadliftKg,195
Backwards Sled Pull,Best3DeadliftKg,196
Backwards Walk,Cardio_Core,197
Backwards Walking On Threadmill,Cardio_Core,198
Bag Throw,Best3DeadliftKg,199
Bajan Curl,Best3DeadliftKg,200
Balance Board,Cardio_Core,201
Ball Ab Lifts,Cardio_Core,202
Ball Drop Steal Starts,Cardio_Core,203
Ball Slam,Cardio_Core,204
Band Assisted Lunge Jumps,Cardio_Core,205
Band Assisted Pogo Jumps,Cardio_Core,206
Band Assisted Squat Jumps,Cardio_Core,207
Band Chest Flyes,Cardio_Core,208
Band Curls,Cardio_Core,209
Band Dynamic Trunk Stability Circuit,Cardio_Core,210
Band Extensions,Cardio_Core,211
Band Face Pull,Cardio_Core,212
Band Fly,Cardio_Core,213
Band Lateral Raise,Cardio_Core,214
Band Lateral Walk,Cardio_Core,215
