bert_score,candidate_id,is_same_group,target,eq_clean,level_idx,goal_clean
0.0014792043948546,2002,1,0,Machine,2,Bodybuilding
0.0011654014233499,2699,0,0,Barbell,0,Athletics
0.0016604863340035,20,1,0,Barbell,2,Muscle & Sculpting
0.0012368452735245,2859,0,0,Bodyweight,2,Bodybuilding
0.0011683920165523,2703,1,0,Barbell,2,Powerlifting
0.0017387212719768,1020,0,0,Bodyweight,0,Bodybuilding
0.0013245170703157,158,0,0,Barbell,0,Powerbuilding
0.0013958192430436,1236,1,1,Barbell,2,Bodybuilding
0.0017837628256529,40,1,0,Machine,2,Muscle & Sculpting
0.00127807573881,2263,1,1,Machine,2,Bodybuilding
0.0014945996226742,2200,1,0,Bodyweight,2,Muscle & Sculpting
0.0011826634872704,1782,0,0,Machine,0,Muscle & Sculpting
0.001340884482488,1082,1,1,Dumbbell,2,Bodybuilding
0.0012181479251012,2811,0,0,Barbell,0,Powerlifting
0.0013374949339777,221,1,0,Bodyweight,2,Athletics
0.0013243810972198,279,0,0,Barbell,2,Powerlifting
0.0011750574922189,1473,1,0,Dumbbell,2,Powerbuilding
0.0014057044172659,2099,0,0,Machine,0,Athletics
0.001347814570181,2633,0,0,Machine,0,Powerlifting
0.0012284941039979,1517,0,0,Machine,2,Fitness
0.0011988290352746,606,1,0,Machine,2,Bodybuilding
0.0013520285720005,2010,1,0,Dumbbell,2,Bodybuilding
0.0019136685878038,2872,0,0,Dumbbell,0,Muscle & Sculpting
0.0017387212719768,1020,0,0,Bodyweight,0,Bodybuilding
0.0013341129524633,1749,0,0,Machine,0,Bodybuilding
0.0015478484565392,1471,1,1,Machine,2,Bodybuilding
0.0013165327254682,1422,0,0,Machine,2,Muscle & Sculpting
0.0019923590589314,1020,0,0,Bodyweight,0,Bodybuilding
0.001477847690694,884,0,0,Bodyweight,0,Powerlifting
0.0011942220153287,2877,0,0,Machine,0,Athletics
0.0013345475308597,21,1,0,Dumbbell,2,Muscle & Sculpting
0.0012640726054087,2465,0,0,Bodyweight,1,Athletics
0.0015342821134254,2979,0,0,Barbell,2,Powerlifting
0.0014030587626621,592,1,1,Machine,2,Bodybuilding
0.001801990554668,2693,1,0,Machine,2,Bodybuilding
0.0012740963138639,1892,0,0,Bodyweight,0,Powerbuilding
0.0016612998442724,1626,0,0,Machine,2,Powerlifting
0.001540103694424,465,0,0,Machine,0,Muscle & Sculpting
0.0013582700630649,1360,0,0,Dumbbell,2,Fitness
0.0013956149341538,1619,0,0,Machine,1,Athletics
0.0019288555486127,1782,0,0,Machine,0,Muscle & Sculpting
0.0011989984195679,2703,1,0,Barbell,2,Powerlifting
0.0012154023861512,2251,0,0,Dumbbell,3,Bodybuilding
0.0012492475798353,2687,0,0,Machine,0,Athletics
0.001109498902224,2649,0,0,Machine,0,Bodybuilding
0.0012438059784471,496,1,0,Machine,2,Bodybuilding
0.0018183344509452,1593,0,0,Machine,0,Powerbuilding
0.0012990443501621,2251,0,0,Dumbbell,3,Bodybuilding
0.0011665006168186,2576,0,0,Barbell,2,Bodybuilding
0.0012655066093429,845,0,0,Dumbbell,0,Powerlifting
0.0013426952064037,2175,0,0,Barbell,0,Powerlifting
0.001270180218853,25,1,0,Barbell,2,Muscle & Sculpting
0.0015217263717204,2980,1,0,Bodyweight,2,Athletics
0.0018476595869287,2302,0,0,Machine,1,Bodybuilding
0.0014047572622075,1339,0,0,Bodyweight,0,Muscle & Sculpting
0.0012344846036285,1102,0,0,Machine,0,Powerbuilding
0.0014289639657363,1471,1,1,Machine,2,Bodybuilding
0.0013228649040684,2002,1,0,Machine,2,Bodybuilding
0.0025530643761157,1471,0,0,Machine,2,Bodybuilding
0.0013975601177662,2302,0,0,Machine,1,Bodybuilding
0.0013510283315554,1083,1,0,Machine,2,Bodybuilding
0.0012217824114486,764,0,0,Bodyweight,2,Bodybuilding
0.0012044500326737,2261,0,0,Machine,0,Powerbuilding
0.0013276730896905,2140,0,0,Bodyweight,0,Powerbuilding
0.0013643959537148,3008,1,1,Dumbbell,2,Bodybuilding
0.0013532030861824,465,0,0,Machine,0,Muscle & Sculpting
0.0013017273740842,1063,0,0,Barbell,1,Bodybuilding
0.0014013876207172,166,0,0,Bodyweight,0,Powerlifting
0.001232371549122,2974,0,0,Machine,0,Powerbuilding
0.0012422259896993,407,0,0,Bodyweight,0,Muscle & Sculpting
0.0014601544244214,1422,1,0,Machine,2,Muscle & Sculpting
0.001263603917323,1348,0,0,Bodyweight,0,Muscle & Sculpting
0.0014307019300758,2301,0,0,Machine,0,Bodyweight Fitness
0.001501748105511,1438,1,0,Machine,2,Powerbuilding
0.0017193561652675,1557,0,0,Machine,0,Powerbuilding
0.0012235904578119,2508,1,0,Bodyweight,2,Powerlifting
0.0012574233114719,1215,0,0,Bodyweight,0,Powerbuilding
0.0011405731784179,1127,1,0,Bodyweight,2,Bodybuilding
0.0016004197532311,2736,1,1,Bodyweight,2,Bodybuilding
0.0012921461602672,626,1,0,Machine,2,Bodybuilding
0.0023696909192949,2703,1,0,Barbell,2,Powerlifting
0.0012753619812428,2403,1,1,Machine,2,Bodybuilding
0.0013098743511363,2697,1,0,Machine,2,Powerbuilding
0.0014569461345672,990,1,0,Bodyweight,2,Bodybuilding
0.0013176974607631,2649,0,0,Machine,0,Bodybuilding
0.0014267314691096,2863,0,0,Barbell,2,Powerbuilding
0.0014534933725371,654,1,0,Bodyweight,2,Bodybuilding
0.0013676619855687,706,0,0,Dumbbell,0,Powerbuilding
0.0013256777310743,1472,0,0,Dumbbell,0,Muscle & Sculpting
0.0016432480188086,650,0,0,Machine,0,Athletics
0.0011783201480284,622,1,0,Barbell,2,Bodybuilding
0.0016180104576051,1184,0,0,Machine,0,Powerlifting
0.0017744657816365,481,0,0,Machine,2,Powerbuilding
0.001248630345799,1820,1,0,Barbell,2,Powerlifting
0.0013509790878742,35,1,0,Machine,2,Muscle & Sculpting
0.001181989442557,1913,0,0,Machine,2,Fitness
0.0012824409641325,404,0,0,Barbell,2,Fitness
0.0013306146720424,1020,0,0,Bodyweight,0,Bodybuilding
0.0012647255789488,70,0,0,Barbell,2,Fitness
0.001768474234268,2944,1,0,Bodyweight,2,Muscle & Sculpting
0.0011284655192866,2087,0,0,Machine,0,Muscle & Sculpting
0.001848101732321,840,0,0,Dumbbell,0,Powerbuilding
0.0011248282389715,828,0,0,Dumbbell,1,Bodybuilding
0.0012050690129399,1360,0,0,Dumbbell,2,Fitness
0.001324029173702,1665,0,0,Bodyweight,0,Athletics
0.0015375416260212,1905,1,0,Barbell,2,Bodybuilding
0.0014070469187572,1871,0,0,Bodyweight,2,Powerlifting
0.0014890551101416,2965,0,0,Barbell,0,Powerbuilding
0.0012517020804807,298,0,0,Bodyweight,0,Powerbuilding
0.0012258342467248,277,1,1,Barbell,2,Bodybuilding
0.0012952642282471,1127,1,0,Bodyweight,2,Bodybuilding
0.0015581873012706,1583,1,0,Dumbbell,2,Bodyweight Fitness
0.0012120540486648,1170,1,0,Bodyweight,2,Athletics
0.0015509263612329,277,1,1,Barbell,2,Bodybuilding
0.0015552766853943,2302,0,0,Machine,1,Bodybuilding
0.001191480550915,982,0,0,Barbell,0,Bodybuilding
0.0018853774527087,2872,0,0,Dumbbell,0,Muscle & Sculpting
0.0012120540486648,1170,1,0,Bodyweight,2,Athletics
0.0015459968708455,2175,0,0,Barbell,0,Powerlifting
0.0011256351135671,2339,1,0,Bodyweight,2,Bodybuilding
0.0013204055139794,834,1,0,Dumbbell,2,Athletics
0.0017228259239345,104,0,0,Bodyweight,0,Bodybuilding
0.0012905420735478,1368,0,0,Dumbbell,2,Fitness
0.0014198679709807,1324,1,0,Machine,2,Bodybuilding
0.0014482283731922,1471,1,0,Machine,2,Bodybuilding
0.0011967564933001,2354,1,0,Machine,2,Muscle & Sculpting
0.0015269494615495,1056,0,0,Machine,0,Powerbuilding
0.0013935783645138,25,1,0,Barbell,2,Muscle & Sculpting
0.001289204810746,41,1,0,Machine,2,Muscle & Sculpting
0.0010757453273981,688,0,0,Machine,2,Bodybuilding
0.0014348761178553,1471,1,1,Machine,2,Bodybuilding
0.0016386928036808,378,0,0,Bodyweight,2,Bodybuilding
0.0013587534194812,899,0,0,Barbell,2,Powerlifting
0.0012039879802614,2736,1,0,Bodyweight,2,Bodybuilding
0.0011494447244331,1418,0,0,Barbell,2,Bodybuilding
0.0012314812047407,2703,1,0,Barbell,2,Powerlifting
0.0012244577519595,523,0,0,Machine,2,Powerlifting
0.0013872069539502,884,0,0,Bodyweight,0,Powerlifting
0.0012601356720551,1476,0,0,Dumbbell,0,Powerbuilding
0.0015812003985047,1170,1,0,Bodyweight,2,Athletics
0.001149306888692,370,1,0,Barbell,2,Powerbuilding
