iter	Passed	Remaining
575	5286	40601
576	5296	40599
577	5305	40591
578	5314	40578
579	5323	40570
580	5334	40573
581	5345	40581
582	5356	40582
583	5367	40584
584	5376	40579
585	5385	40567
586	5395	40561
587	5403	40546
588	5414	40546
589	5423	40541
590	5435	40546
591	5442	40521
592	5452	40523
593	5464	40534
594	5474	40533
595	5485	40534
596	5494	40524
597	5504	40521
598	5514	40518
599	5525	40516
600	5534	40511
601	5543	40500
602	5554	40499
603	5564	40502
604	5576	40507
605	5584	40494
606	5595	40494
607	5605	40489
608	5613	40472
609	5624	40475
610	5634	40471
611	5643	40466
612	5654	40464
613	5664	40464
614	5675	40464
615	5685	40464
616	5696	40468
617	5707	40468
618	5717	40466
619	5727	40465
620	5738	40463
621	5748	40463
622	5759	40466
623	5768	40454
624	5778	40450
625	5789	40452
626	5798	40439
627	5808	40438
628	5818	40430
629	5827	40421
630	5837	40416
631	5845	40403
632	5856	40401
633	5865	40392
634	5875	40386
635	5885	40381
636	5894	40372
637	5904	40369
638	5915	40371
639	5925	40370
640	5936	40371
641	5944	40352
642	5954	40350
643	5964	40346
644	5971	40318
645	5981	40312
646	5993	40324
647	6004	40327
648	6010	40298
649	6019	40284
650	6027	40268
651	6038	40269
652	6046	40253
653	6057	40254
654	6065	40236
655	6075	40232
656	6083	40217
657	6089	40184
658	6094	40147
659	6103	40134
660	6114	40134
661	6122	40119
662	6132	40114
663	6142	40110
664	6152	40108
665	6161	40094
666	6171	40090
667	6181	40084
668	6187	40059
669	6197	40052
670	6204	40026
671	6214	40021
672	6225	40024
673	6233	40007
674	6243	40004
675	6251	39985
676	6261	39984
677	6272	39981
678	6281	39974
679	6290	39962
680	6299	39953
681	6309	39949
682	6320	39948
683	6329	39936
684	6339	39936
685	6348	39926
686	6355	39901
687	6366	39900
688	6372	39870
689	6378	39840
690	6388	39836
691	6398	39833
692	6407	39821
693	6417	39815
694	6426	39808
695	6436	39802
