iter	F1	Logloss
84	0.9354823353	0.1739368729
85	0.9354279196	0.1739316485
86	0.9356490194	0.173018064
87	0.9356490194	0.1730033121
88	0.9366081137	0.1713757704
89	0.9369514826	0.1710064402
90	0.936937861	0.1708985673
91	0.9369787269	0.1707881209
92	0.936937861	0.1707481097
93	0.936937861	0.1705687324
94	0.9369787269	0.1704698676
95	0.9369787269	0.1704698437
96	0.9369787269	0.1704228908
97	0.9369787269	0.1704227251
98	0.937210368	0.1689083628
99	0.937210368	0.1688572958
100	0.937210368	0.1688571324
101	0.937210368	0.1688571112
102	0.9373330479	0.1675913226
103	0.9378264702	0.1659363632
104	0.9378537526	0.1651592504
105	0.938345108	0.1639933506
106	0.9385636534	0.1632572127
107	0.9387686323	0.1624872957
108	0.9387549642	0.1624843719
109	0.9388096388	0.162134809
110	0.9387823007	0.1621322516
111	0.9384270506	0.1621300401
112	0.9388662158	0.1609971256
113	0.9394268012	0.1601257063
114	0.9399483564	0.1590805676
115	0.9399346668	0.1590433222
116	0.9399483564	0.1586712728
117	0.9402085334	0.1579533022
118	0.9409515326	0.1573269797
119	0.9411296619	0.1570616368
120	0.9411159572	0.1570592095
121	0.9414586932	0.1564159224
122	0.9414175517	0.1564139378
123	0.9416513265	0.1564068833
124	0.9418987122	0.1563199806
125	0.9418987122	0.1563109086
126	0.9419124268	0.1558208619
127	0.9419124268	0.1558208578
128	0.9419124268	0.1558208537
129	0.9419810057	0.1554457732
130	0.9419810057	0.1552791599
131	0.9422965973	0.1546871022
132	0.9423103235	0.1545665992
133	0.9423103235	0.1545665026
134	0.9425299966	0.1537560094
135	0.9428322532	0.1534466609
136	0.9431482673	0.1530853444
137	0.9431482673	0.1530757443
138	0.9435604754	0.1524644414
139	0.9443153568	0.1521006512
140	0.9443297724	0.1514318171
141	0.9443297724	0.1514316796
142	0.9443435321	0.1513706244
143	0.945427099	0.1508490368
144	0.9455923162	0.1503469135
145	0.9463195248	0.1497338817
146	0.9467468612	0.149136563
147	0.9472967793	0.1483652927
148	0.9472277801	0.1482672397
149	0.9469813709	0.1479881497
150	0.9471449942	0.1479095156
151	0.9475590682	0.1470176488
152	0.9476695491	0.1463519851
153	0.9482588121	0.1460360925
154	0.9482588121	0.1460360552
155	0.9483140793	0.1457109105
156	0.9486984191	0.145082375
157	0.9489058002	0.1446767114
158	0.9491409418	0.1440465338
159	0.9494700303	0.1428696233
160	0.9495669092	0.1423636552
161	0.9499374765	0.1419655916
162	0.9500344058	0.1415777476
163	0.9500482544	0.141299937
164	0.9505470747	0.1405446901
165	0.9506302623	0.1400915004
166	0.9506302623	0.1400914156
167	0.9521597095	0.1392759801
168	0.9521597095	0.1388457121
169	0.9532839588	0.1376951412
170	0.9538850135	0.1369245057
171	0.953912794	0.1360584857
172	0.9539457428	0.1352480433
173	0.9544772318	0.1347001632
174	0.9545050339	0.1344297727
175	0.9547775855	0.1341011035
176	0.9549166354	0.1333161051
177	0.9553560369	0.1328215669
178	0.9554534405	0.1321794065
179	0.9555369451	0.131834478
180	0.9558650401	0.1314403081
181	0.955934654	0.1310825319
182	0.9557457705	0.1304621706
183	0.9560739123	0.1300437046
184	0.9566185021	0.1295167815
185	0.9565767113	0.1293534543
186	0.9566602965	0.1290319252
187	0.9569529595	0.1281385017
188	0.9569808415	0.1280337932
189	0.9570226676	0.1278338593
190	0.9571063307	0.1273196499
191	0.9573853134	0.1266816064
192	0.9575248657	0.1262049529
193	0.9577412812	0.1257020015
194	0.9579646475	0.1251950624
195	0.9580344708	0.1249852064
196	0.9581462092	0.1245530785
197	0.9584044271	0.1241802978
198	0.9583904573	0.124015557
199	0.9589345381	0.1236928368
200	0.9590044061	0.1233371827
201	0.9592979631	0.1229797228
202	0.9596817878	0.1224605564
203	0.9598496723	0.1221719123
204	0.9599196415	0.1216789058
205	0.9605752908	0.1208610384
206	0.9609310077	0.1203961569
207	0.9609450129	0.1202245198
208	0.9609730246	0.1198897854
209	0.9609730246	0.1196581972
210	0.9610850875	0.1191721142
211	0.9608553943	0.1188912106
212	0.9608974239	0.1185962477
213	0.9608273766	0.1182280322
214	0.9611831641	0.1178806436
215	0.9612111897	0.1174048166
216	0.9612672457	0.117148495
217	0.961309292	0.116820714
218	0.9616370118	0.1164037435
219	0.9620487945	0.116039876
220	0.9621048966	0.1158080836
221	0.9620768448	0.115580916
222	0.9626056751	0.115307161
223	0.9626056751	0.1149733785
224	0.9627038815	0.1145462457
225	0.9627459761	0.1143004745
226	0.9630313081	0.1138044813
227	0.9629705429	0.1134189226
228	0.9635833032	0.1128078618
229	0.963681619	0.1125879476
230	0.9636675726	0.1124451763
231	0.9639949116	0.1121513886
232	0.9640089611	0.1119246159
233	0.9638361557	0.1117675201
234	0.9640792144	0.1116149576
235	0.9641775862	0.1113579659
236	0.9643603301	0.1111838216
237	0.9645611215	0.1109819727
238	0.9645892409	0.1106974537
239	0.9648602335	0.1103715921
240	0.9648742952	0.1102668937
241	0.964916483	0.1100484083
242	0.9649305464	0.109770384
243	0.964916483	0.109639536
244	0.9649305464	0.1094849567
245	0.9649868042	0.1092337031
246	0.9654124724	0.1086744919
247	0.9653984014	0.1085486211
248	0.9654265438	0.1082861636
249	0.9656551574	0.1082228727
250	0.9656833019	0.1080325375
251	0.9657255218	0.1077605497
252	0.9657395959	0.1076290611
253	0.9657536704	0.1075736818
254	0.9657958965	0.107198185
255	0.9658240492	0.1070283726
256	0.9658944382	0.1068721376
257	0.9659507568	0.1067044219
258	0.9659366766	0.1065955771
259	0.9660352471	0.1063271316
260	0.9659930001	0.1062589527
261	0.9660915821	0.106095823
262	0.9660915821	0.1060439488
263	0.9661620101	0.1059147707
264	0.9662324484	0.1058426967
265	0.9661901842	0.1057164053
266	0.9661901842	0.1056628658
267	0.966661213	0.1055995389
268	0.9667598412	0.1053383597
269	0.9667598412	0.1052351102
270	0.9667598412	0.1050747313
271	0.9670304378	0.1049119211
272	0.9671290962	0.1044792831
273	0.9671995788	0.1042368844
274	0.9674278017	0.1040930815
275	0.9674700968	0.1039634251
276	0.9675687998	0.1036803995
277	0.9675970044	0.1034102249
278	0.9676534184	0.1032677646
279	0.967667523	0.1032392616
280	0.967667523	0.1030165773
281	0.9676534184	0.1029032023
282	0.9676957333	0.1026899791
283	0.9677239452	0.1025696702
284	0.9680085014	0.1019762734
285	0.9680790477	0.1015467547
286	0.9681354922	0.1012470933
287	0.9682060571	0.1010881658
288	0.9683776329	0.1006319008
289	0.9684058588	0.1005610352
290	0.9686337869	0.1003238254
291	0.9691599163	0.1000363355
292	0.9691458004	0.100000382
293	0.9694298941	0.09968375109
294	0.9692587386	0.09939145696
295	0.9695004866	0.09926526032
296	0.9692446199	0.09912802245
297	0.9693293384	0.09888030312
298	0.9698409858	0.09856196382
299	0.9702392539	0.09829880011
300	0.9699836834	0.09810521276
301	0.9699978043	0.0978900731
302	0.9699978043	0.09767375147
303	0.9702533758	0.0973770141
304	0.9705088495	0.09712027105
305	0.9702957442	0.09689509808
306	0.970593596	0.0966887322
307	0.9708631046	0.09633618843
308	0.9706501018	0.09620421474
309	0.9709054877	0.09598575086
310	0.9711325179	0.09554965169
311	0.9711466466	0.09544276588
312	0.9711890352	0.09519967805
313	0.9712172963	0.09491920059
314	0.9712314274	0.0948876496
315	0.9714151699	0.09459676857
316	0.9714151699	0.09447636754
317	0.9714434442	0.09433702714
318	0.9714717201	0.09429297561
319	0.9716703783	0.0940745815
320	0.9717127933	0.09372601502
321	0.9717127933	0.09353402388
322	0.9717269325	0.09341252803
323	0.9718400606	0.09320274718
324	0.9718542034	0.09307897386
325	0.9718966345	0.09287318086
326	0.971953215	0.09266442032
327	0.971953215	0.09245545142
328	0.9719390693	0.0922546126
329	0.9725058244	0.09194956579
330	0.9724916754	0.09164825309
331	0.9725058244	0.09160666075
332	0.9726190311	0.09144513981
333	0.9726190311	0.09137909858
334	0.9727607627	0.09126937666
335	0.9727607627	0.09114705059
336	0.9727749131	0.09096074681
337	0.9731429808	0.09081306584
338	0.9731146718	0.09072376615
339	0.9729022852	0.09047111719
340	0.9731288261	0.09002610822
341	0.9733977329	0.08988492667
342	0.9734260455	0.08973753233
343	0.9734685174	0.08951650517
344	0.9739211026	0.08926203763
345	0.9739069446	0.08923828922
346	0.9739069446	0.08904088268
347	0.9739777391	0.0889161466
348	0.9740910317	0.08877924129
349	0.9740768686	0.0886296537
350	0.9740910317	0.08858982779
351	0.9741193589	0.08827238935
352	0.9741476878	0.08808479558
353	0.9742326845	0.08783988081
354	0.97426102	0.08778323357
355	0.974331866	0.08765431674
356	0.974246852	0.08757089878
357	0.974317696	0.08735001059
358	0.9744310677	0.08718100911
359	0.974445241	0.08695946348
360	0.9745019384	0.08681621988
361	0.9750250208	0.08644159967
362	0.9752084406	0.08633960763
363	0.9752226173	0.0860826681
364	0.9753076861	0.08588402563
365	0.9753644069	0.08571211056
366	0.9753644069	0.08561634558
367	0.9753927697	0.0854272394
368	0.9754069518	0.08527367685
369	0.9757604635	0.08511337088
370	0.9757604635	0.08498404071
371	0.9757888365	0.08488664578
372	0.976042967	0.08471778773
373	0.9760855326	0.08457858745
374	0.976170675	0.08444698727
375	0.976170675	0.08441279476
376	0.9768757346	0.08418814668
377	0.9768899277	0.08406225753
378	0.9768899277	0.08397211901
379	0.9767638309	0.08379955988
380	0.976749635	0.08366933473
381	0.9770034876	0.08347388536
382	0.9770176844	0.08344539326
383	0.9770318816	0.08342326561
384	0.9770176844	0.08331831425
385	0.9772714408	0.08307025175
386	0.9772714408	0.08292282168
387	0.977285639	0.08273954545
388	0.9775818994	0.08266969926
389	0.9775961003	0.08262616121
390	0.9776671106	0.08238100688
391	0.9776671106	0.08234069484
392	0.977681314	0.08218652052
393	0.977681314	0.08208883864
394	0.9776955177	0.0820055749
395	0.9776955177	0.08191630827
396	0.9777381314	0.08184516447
397	0.9780059146	0.08153429899
398	0.9782451882	0.08131271624
399	0.9782309813	0.08124756348
400	0.9782593955	0.08114830556
401	0.9783446481	0.08091568995
402	0.9786406726	0.08061954511
403	0.978683311	0.08054654396
404	0.978683311	0.08041033305
405	0.9787685991	0.08016570471
406	0.9787970317	0.07999970775
407	0.9788396838	0.07965524772
408	0.9788681206	0.07958384377
409	0.978896559	0.07956595412
410	0.9789249991	0.07941348677
411	0.9789107788	0.07927413595
412	0.9791783141	0.07914460479
