iter	Passed	Remaining
402	12903	51132
403	12935	51100
404	12966	51064
405	12988	50995
406	13014	50937
407	13051	50926
408	13086	50904
409	13126	50904
410	13163	50893
411	13200	50879
412	13233	50850
413	13268	50830
414	13304	50813
415	13339	50791
416	13372	50763
417	13404	50732
418	13445	50732
419	13482	50720
420	13517	50697
421	13545	50651
422	13579	50627
423	13611	50592
424	13647	50576
425	13679	50545
426	13709	50502
427	13739	50461
428	13775	50446
429	13814	50437
430	13853	50433
431	13883	50392
432	13918	50371
433	13952	50343
434	13983	50307
435	14018	50287
436	14049	50250
437	14082	50222
438	14115	50193
439	14143	50145
440	14177	50120
441	14209	50086
442	14244	50064
443	14280	50044
444	14319	50036
445	14350	50001
446	14387	49985
447	14422	49963
448	14454	49931
449	14483	49889
450	14515	49854
451	14548	49825
452	14573	49769
453	14603	49730
454	14643	49724
455	14678	49701
456	14710	49667
457	14745	49646
458	14788	49647
459	14826	49637
460	14863	49618
461	14900	49602
462	14935	49580
463	14967	49547
464	14992	49492
465	15028	49473
466	15070	49471
467	15104	49444
468	15134	49406
469	15173	49393
470	15215	49393
471	15249	49366
472	15277	49322
473	15307	49282
474	15339	49247
475	15387	49265
476	15427	49258
477	15466	49245
478	15498	49214
479	15523	49157
480	15553	49119
481	15595	49117
482	15626	49078
483	15655	49037
484	15692	49019
485	15731	49006
486	15765	48980
487	15800	48954
488	15836	48932
489	15864	48888
490	15901	48870
491	15936	48845
492	15970	48817
493	16012	48816
494	16048	48793
495	16083	48770
496	16112	48726
497	16151	48714
498	16193	48708
499	16225	48677
500	16259	48648
501	16295	48628
502	16325	48587
503	16358	48556
504	16389	48519
505	16419	48478
506	16454	48453
507	16488	48426
508	16527	48414
509	16562	48388
510	16595	48357
511	16633	48340
512	16662	48297
513	16702	48286
514	16737	48262
515	16773	48238
516	16813	48229
517	16844	48192
518	16883	48179
519	16919	48155
520	16952	48124
521	16992	48113
522	17029	48094
523	17062	48061
524	17096	48032
525	17126	47992
526	17160	47964
527	17195	47938
528	17236	47928
529	17270	47901
530	17307	47881
531	17366	47919
532	17408	47913
533	17446	47896
534	17479	47864
535	17518	47850
536	17551	47816
537	17588	47797
538	17619	47759
539	17659	47746
540	17690	47709
541	17726	47686
542	17751	47632
543	17780	47588
544	17808	47543
545	17830	47481
546	17849	47413
547	17871	47353
548	17890	47284
549	17912	47224
550	17935	47164
551	17957	47106
552	17980	47048
553	17998	46977
554	18016	46908
555	18036	46843
556	18060	46788
557	18080	46725
558	18097	46652
559	18117	46586
560	18136	46521
561	18151	46444
562	18173	46387
563	18193	46323
564	18213	46259
565	18231	46190
566	18250	46126
567	18270	46061
568	18287	45990
569	18302	45917
570	18319	45846
571	18338	45781
572	18359	45722
573	18377	45655
574	18397	45594
575	18418	45535
576	18437	45470
577	18455	45404
578	18473	45338
579	18493	45277
580	18510	45208
581	18528	45143
582	18547	45079
583	18563	45010
584	18581	44946
585	18601	44885
586	18619	44820
587	18640	44762
588	18662	44707
589	18680	44643
590	18699	44582
591	18720	44523
592	18736	44456
593	18760	44405
594	18778	44343
595	18796	44278
596	18815	44217
597	18830	44147
598	18846	44080
599	18865	44019
600	18881	43953
601	18901	43893
602	18919	43831
603	18936	43767
604	18953	43703
605	18971	43641
606	18992	43585
607	19011	43525
608	19028	43463
609	19049	43407
610	19070	43354
611	19087	43289
612	19102	43222
613	19120	43160
614	19138	43101
615	19156	43040
616	19172	42975
617	19189	42912
618	19205	42847
619	19227	42796
620	19246	42738
621	19264	42678
622	19284	42624
623	19304	42568
624	19321	42507
625	19335	42439
626	19351	42376
627	19370	42319
628	19388	42259
629	19407	42203
630	19428	42152
631	19449	42098
632	19470	42047
633	19488	41988
634	19502	41921
635	19519	41862
636	19539	41809
637	19558	41753
638	19571	41685
639	19592	41633
640	19608	41572
641	19622	41506
642	19639	41448
643	19654	41385
644	19673	41329
645	19692	41275
646	19708	41214
647	19725	41155
648	19743	41100
649	19761	41042
650	19779	40986
651	19793	40921
652	19814	40873
653	19834	40820
654	19851	40763
655	19867	40704
656	19884	40647
657	19905	40596
658	19925	40546
659	19944	40492
660	19962	40437
661	19981	40385
662	20002	40336
663	20017	40275
664	20035	40220
665	20050	40161
666	20068	40106
667	20085	40050
668	20103	39996
669	20122	39943
670	20139	39889
671	20157	39834
672	20176	39783
673	20190	39722
674	20207	39666
675	20226	39615
676	20244	39561
677	20262	39508
678	20275	39446
679	20293	39393
680	20313	39344
681	20329	39287
682	20350	39240
683	20366	39185
684	20386	39136
685	20408	39092
686	20430	39046
687	20449	38996
688	20465	38940
689	20482	38887
690	20502	38838
691	20522	38791
692	20542	38742
693	20558	38687
694	20578	38641
695	20600	38596
696	20619	38547
697	20637	38495
698	20655	38444
699	20676	38398
700	20695	38350
701	20714	38300
702	20735	38255
703	20753	38205
704	20774	38159
705	20792	38109
706	20808	38056
707	20829	38009
708	20846	37958
709	20865	37909
710	20882	37858
711	20899	37807
712	20920	37761
713	20938	37713
714	20955	37661
715	20973	37611
716	20995	37569
717	21013	37519
718	21035	37477
719	21054	37430
720	21073	37382
721	21092	37335
722	21109	37284
723	21125	37232
724	21139	37176
725	21158	37129
726	21176	37079
727	21195	37033
728	21212	36983
729	21231	36937
730	21249	36888
731	21267	36841
732	21275	36775
733	21294	36728
734	21311	36678
735	21329	36631
736	21347	36583
737	21364	36533
738	21384	36489
739	21401	36441
740	21418	36391
741	21436	36344
742	21456	36300
743	21472	36249
744	21491	36203
745	21510	36157
746	21526	36108
747	21543	36060
748	21562	36014
749	21579	35966
750	21598	35920
751	21614	35870
752	21633	35826
753	21651	35778
754	21666	35728
755	21682	35678
756	21697	35627
757	21712	35576
758	21727	35525
759	21742	35475
760	21766	35437
761	21784	35392
762	21802	35347
763	21820	35300
764	21835	35250
765	21853	35204
766	21870	35157
767	21888	35112
768	21906	35067
769	21926	35025
770	21947	34984
771	21961	34934
772	21981	34891
773	21999	34847
774	22017	34802
775	22037	34759
776	22053	34712
777	22070	34666
778	22088	34620
779	22110	34582
780	22133	34545
781	22150	34500
782	22168	34456
783	22187	34413
784	22205	34369
785	22223	34324
786	22245	34286
787	22264	34244
788	22285	34204
789	22303	34161
790	22322	34118
791	22341	34076
792	22357	34029
793	22376	33986
794	22396	33946
795	22414	33903
796	22434	33862
797	22453	33821
798	22469	33774
799	22486	33730
800	22504	33686
801	22524	33646
802	22544	33606
803	22560	33559
804	22579	33518
805	22602	33483
806	22617	33436
807	22638	33397
808	22655	33353
809	22673	33310
810	22690	33265
811	22710	33227
812	22726	33181
813	22747	33143
814	22766	33102
815	22783	33058
816	22803	33018
817	22822	32978
818	22841	32937
819	22858	32894
820	22877	32853
821	22897	32814
822	22915	32771
823	22935	32733
824	22953	32691
825	22973	32652
826	22991	32611
827	23010	32571
828	23026	32526
829	23048	32490
830	23065	32446
831	23084	32406
832	23101	32364
833	23121	32326
834	23138	32283
835	23158	32244
836	23181	32210
837	23200	32170
838	23218	32129
839	23237	32089
840	23258	32052
841	23276	32012
842	23298	31976
843	23313	31931
844	23332	31892
845	23351	31853
846	23370	31813
847	23389	31773
848	23408	31735
849	23425	31693
850	23441	31649
851	23460	31610
852	23480	31573
853	23499	31534
854	23520	31498
855	23540	31460
856	23560	31423
857	23579	31384
858	23595	31342
859	23613	31302
860	23633	31264
861	23651	31224
862	23668	31182
863	23683	31139
864	23701	31099
865	23719	31059
866	23734	31016
867	23750	30974
868	23772	30939
869	23796	30908
870	23815	30869
871	23841	30840
872	23863	30806
873	23885	30772
874	23906	30736
875	23927	30701
876	23950	30668
877	23964	30624
878	23982	30585
879	24000	30545
880	24016	30504
881	24039	30471
882	24060	30436
883	24077	30395
884	24095	30357
885	24116	30321
886	24136	30285
887	24156	30250
888	24178	30216
889	24199	30180
890	24220	30146
891	24236	30105
892	24257	30070
893	24276	30033
894	24299	30001
895	24319	29964
896	24340	29930
897	24360	29895
898	24382	29861
899	24402	29824
900	24421	29788
901	24443	29754
902	24460	29715
903	24477	29676
904	24495	29638
905	24511	29597
906	24532	29563
907	24545	29518
908	24563	29481
909	24579	29441
910	24600	29407
911	24619	29371
912	24637	29332
913	24653	29292
914	24670	29253
915	24686	29214
916	24701	29173
917	24722	29139
918	24741	29102
919	24760	29066
920	24781	29032
921	24800	28996
922	24817	28958
923	24833	28918
924	24851	28881
925	24867	28842
926	24882	28801
927	24899	28763
928	24916	28724
929	24933	28686
930	24948	28646
931	24967	28611
932	24988	28577
933	25007	28541
934	25032	28512
935	25051	28477
936	25073	28445
937	25092	28410
938	25112	28374
939	25130	28338
940	25151	28305
941	25169	28268
942	25187	28232
943	25206	28197
944	25225	28161
945	25245	28127
946	25266	28094
947	25286	28060
948	25303	28023
949	25320	27985
950	25338	27949
951	25356	27913
952	25374	27877
953	25393	27842
954	25412	27807
955	25429	27769
956	25445	27732
957	25462	27695
958	25479	27657
959	25494	27618
960	25511	27582
961	25529	27546
962	25546	27509
963	25563	27472
964	25582	27438
965	25604	27407
966	25619	27367
967	25638	27334
968	25655	27297
969	25676	27264
970	25693	27227
971	25711	27192
972	25726	27154
973	25744	27119
974	25763	27084
975	25782	27049
976	25798	27013
977	25816	26978
978	25834	26942
979	25851	26906
980	25871	26873
981	25891	26840
982	25911	26807
983	25927	26771
984	25944	26734
985	25963	26700
986	25977	26661
987	26000	26631
988	26019	26597
989	26036	26562
990	26055	26528
991	26073	26493
992	26090	26458
993	26107	26422
994	26123	26386
995	26139	26349
996	26158	26315
997	26176	26281
998	26194	26247
999	26208	26208
1000	26229	26177
1001	26249	26144
1002	26266	26109
1003	26283	26074
1004	26306	26044
1005	26322	26008
1006	26340	25974
1007	26354	25936
1008	26374	25903
1009	26388	25865
1010	26405	25831
1011	26423	25797
1012	26441	25762
1013	26461	25731
1014	26478	25695
1015	26499	25665
1016	26517	25630
1017	26537	25598
1018	26551	25561
1019	26570	25528
1020	26588	25494
1021	26606	25461
1022	26623	25426
1023	26639	25391
1024	26656	25356
1025	26673	25321
1026	26692	25289
1027	26711	25256
1028	26728	25222
